faixas,unidades_locais,pessoal_ocup_total,pessoal_ocup_assal,pessoal_assalariado_medio,salario_outras_rem,salario_medio_mensal_min,salario_medio_mensal
Alimentação,276295,1883365,1538659,1538795.7,29919735.404,1.56778,1495.66190495593
Restaurantes e outros serviços de alimentação e bebidas,248201,1589712,1275621,1267615.55,24173229.886,1.537643,1466.91102203661
"Serviços de catering, bufê e outros serviços de comida preparada",28094,293653,263038,271180.15,5746505.518,1.708654,1630.05620433501
Informação e comunicação,151381,1079375,866867,843787.31,52493026.541,5.016224,4785.47741911224
Edição e edição integrada à impressão,13422,83080,64237,67532.41,3342861.046,3.9913,3807.69999744738
"Edição de livros, jornais, revistas e outras atividades de edição",8072,33339,22205,23067.75,1167222.441,4.079967,3892.28865474026
"Edição integrada à impressão de livros, jornais, revistas e outras publicações",5350,49741,42032,44464.66,2175638.605,3.9453,3763.81638292592
"Atividades cinematográficas, produção de vídeos e de programas de televisão; gravação de som e edição de música",16758,52086,28650,28805.72,999465.833,2.797676,2668.98335309259
"Atividades cinematográficas, produção de vídeos e de programas de televisão",14717,47258,26639,26723.27,887964.083,2.679255,2556.00940534367
Atividades de gravação de som e de edição de música,2041,4828,2011,2082.45,111501.75,4.317331,4118.73403553876
Atividades de rádio e de televisão,6064,95234,87519,85962.91,6204101.381,5.819371,5551.67999511918
Atividades de rádio,4811,37834,31254,30892.02,944295.764,2.464734,2351.35597129316
Atividades de televisão,1253,57400,56265,55070.89,5259805.617,7.701155,7346.90200352533
Telecomunicações,17724,223816,204847,195617.22,9751902.032,4.019671,3834.76623455668
Telecomunicações por fio,7113,87255,79558,69790.93,3139893.616,3.62764,3460.76887288715
Telecomunicações sem fio,1920,49177,48606,51656.73,3915487.672,6.111773,5830.631543743
Telecomunicações por satélite,184,2282,2100,2089.92,230052.962,8.875778,8467.49238837261
Operadoras de televisão por assinatura,256,4302,4040,4336.12,261374.466,4.860379,4636.80160001249
