cnae,atividades,faixa,unidades_locais,pessoal_ocp_total,pessoal_ocp_assal,pessoal_assal_medio,salarios_outras_rem,salario_medio_mensal_min,salario_medio_mensal
23,Fabricação de produtos de minerais não-metálicos,50 a 99,720,49070,48237,48493.19,1404548.209,2.232451,2227.98644352077
23,Fabricação de produtos de minerais não-metálicos,100 a 249,285,43419,43186,45370.74,1801872.751,3.061078,3054.95559981541
23,Fabricação de produtos de minerais não-metálicos,250 a 499,102,36555,36475,37804.52,1716959.691,3.5006,3493.59871212795
23,Fabricação de produtos de minerais não-metálicos,500 ou mais,44,39182,39145,41205.43,1999232.29,3.739684,3732.20469318653
24,Metalurgia,0 a 4,1790,3336,1270,3353.89,140840.127,3.236709,3230.23591205344
24,Metalurgia,5 a 9,649,4296,3293,3498.33,93147.765,2.052285,2048.1809012608
24,Metalurgia,10 a 19,562,7760,6840,7222.29,217994.171,2.326463,2321.80961781033
24,Metalurgia,20 a 29,202,4854,4581,4802.13,182571.568,2.930389,2924.52865066768
24,Metalurgia,30 a 49,254,9793,9480,9884.72,364145.755,2.839468,2833.78911320472
24,Metalurgia,50 a 99,240,16971,16608,17404.44,711445.168,3.150703,3144.40173798269
24,Metalurgia,100 a 249,175,27789,27600,28743.12,1294434.913,3.471142,3464.20000280468
24,Metalurgia,250 a 499,68,23933,23881,24868.53,1389758.24,4.3074,4298.78565399724
24,Metalurgia,500 ou mais,65,98735,98702,105720.33,7221329.854,5.264835,5254.3055044016
25,"Fabricação de produtos de metal, exceto máquinas e equipamentos",0 a 4,26748,54100,21045,25750.16,560019.587,1.676291,1672.93833394553
25,"Fabricação de produtos de metal, exceto máquinas e equipamentos",5 a 9,9124,59679,45227,45397.15,1102304.6,1.87154,1867.79702114475
25,"Fabricação de produtos de metal, exceto máquinas e equipamentos",10 a 19,5525,74527,65244,65288.24,1826563.828,2.156383,2152.0707227849
25,"Fabricação de produtos de metal, exceto máquinas e equipamentos",20 a 29,1777,42033,39066,39342.91,1150344.22,2.253655,2249.14773521015
25,"Fabricação de produtos de metal, exceto máquinas e equipamentos",30 a 49,1253,47538,45936,46009.19,1424535.376,2.386463,2381.69036028872
