ufs,cidades,unidades_locais,pessoal_ocp_total,pessoal_ocp_assal,pessoal_assal_medio,salarios_outras_rem,salario_medio_mensal_min,salario_medio_mensal,numero_empresas
Paraná,Ponta Grossa - PR,13815.0,105823.0,87919.0,89074.21,3002164.65,2.597817,2592.62184090875,13117.0
Paraná,Pontal do Paraná - PR,1144.0,5565.0,4400.0,4319.12,121672.9,2.171324,2166.98166435613,1072.0
Paraná,Porecatu - PR,341.0,2273.0,1849.0,2137.65,48717.791,1.756617,1753.10382177409,333.0
Paraná,Porto Amazonas - PR,118.0,990.0,845.0,861.58,21557.749,1.928563,1924.70621952156,109.0
Paraná,Porto Barreiro - PR,43.0,319.0,271.0,292.2,9401.428,2.479932,2474.97183172748,43.0
Paraná,Porto Rico - PR,135.0,659.0,519.0,508.79,15464.209,2.342692,2338.0069153512,135.0
Paraná,Porto Vitória - PR,109.0,657.0,525.0,530.13,14255.788,2.072693,2068.54748254782,106.0
Paraná,Prado Ferreira - PR,143.0,947.0,776.0,761.2,20411.877,2.066856,2062.7225231416,143.0
Paraná,Pranchita - PR,285.0,1472.0,1119.0,1120.14,28627.626,1.969877,1965.93736222533,283.0
Paraná,Presidente Castelo Branco - PR,131.0,714.0,576.0,602.37,15495.529,1.982756,1978.79006130911,131.0
Paraná,Primeiro de Maio - PR,221.0,1514.0,1202.0,1208.42,35515.786,2.26532,2260.78974070401,217.0
Paraná,Prudentópolis - PR,1378.0,8526.0,6880.0,6748.22,171418.341,1.957916,1954.00064472842,1306.0
Paraná,Quarto Centenário - PR,93.0,632.0,540.0,548.8,17259.88,2.424096,2419.24758914555,88.0
Paraná,Quatiguá - PR,298.0,1879.0,1489.0,1510.74,36220.881,1.847972,1844.27606033111,294.0
Paraná,Quatro Barras - PR,760.0,8842.0,7967.0,8420.79,359074.803,3.286686,3280.1125182207,742.0
Paraná,Quatro Pontes - PR,222.0,1204.0,921.0,928.39,27031.814,2.244248,2239.75948436789,220.0
Paraná,Quedas do Iguaçu - PR,1239.0,6917.0,5335.0,5484.83,142851.119,2.007459,2003.44360999058,1223.0
Paraná,Querência do Norte - PR,192.0,1263.0,1036.0,1098.04,30720.293,2.15642,2152.1069009676,188.0
Paraná,Quinta do Sol - PR,100.0,659.0,549.0,561.67,14887.27,2.04296,2038.87445543578,99.0
Paraná,Quitandinha - PR,317.0,1902.0,1461.0,1515.71,41575.027,2.114183,2109.95441080418,313.0
Paraná,Ramilândia - PR,57.0,350.0,307.0,302.9,8959.213,2.2798,2275.24011478782,55.0
