codigo_cnae,atividade,numero_empresas,pessoal_ocup_total,pessoal_ocup_assal_total,pessoal_ocup_assal_masc,pessoal_ocup_assal_fem,pessoal_ocup_assal_sup,pessoal_ocup_assal_non_sup,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_sup,pessoal_assalariado_non_sup,salario_outras_rem_total,salario_outras_rem_masc,salario_outras_rem_fem,salario_outras_rem_sup,salario_outras_rem_non_sup,salario_min_mensal_total,salario_min_mensal_masc,salario_min_mensal_fem,salario_min_mensal_sup,salario_min_mensal_non_sup,salario_medio_mensal_total,salario_medio_mensal_masc,salario_medio_mensal_fem,salario_medio_mensal_sup,salario_medio_mensal_non_sup
17.1,Fabricação de celulose e outras pastas para a fabricação de papel,45,28132,28101,24119,3982,6323,21778,28485.04,24511.87,3973.17,6365.65,22119.39,2397030.98,2075068.779,321962.201,1049488.045,1347542.935,6.486089,6.525025,6.245883,12.707521,4.695648,6473.11706290525,6511.97461914135,6233.39126034027,12682.1062445131,4686.2571185803
17.2,"Fabricação de papel, cartolina e papel-cartão",252,44408,44055,37371,6684,7563,36492,45832.52,38911.5,6921.02,7819.29,38013.23,2610372.137,2243161.046,367211.091,987414.761,1622957.376,4.389902,4.44333,4.089515,9.733262,3.290777,4381.12189101336,4434.44353705994,4081.33584356063,9713.79519309101,3284.19539925766
17.3,"Fabricação de embalagens de papel, cartolina, papel-cartão e papelão ondulado",2268,64761,61535,47324,14211,5369,56166,63161.34,48569.99,14591.35,5559.39,57601.95,2268164.358,1836044.245,432120.113,537912.798,1730251.56,2.767893,2.913676,2.282628,7.457802,2.315251,2762.35718533862,2907.84850258993,2278.06259820426,7442.88627681482,2310.62097457037
17.4,"Fabricação de produtos diversos de papel, cartolina, papel-cartão e papelão ondulado",2348,59388,56056,39670,16386,6619,49437,55540.76,39304.97,16235.79,6677.59,48863.17,2187958.407,1649258.046,538700.361,654419.33,1533539.077,3.036361,3.234203,2.557408,7.553748,2.419019,3030.28789750363,3227.73439436442,2552.29276232892,7538.64020725119,2414.18115903277
18,Impressão e reprodução de gravações,19070,121525,95029,63000,32029,10253,84776,97856.52,64945.4,32911.12,10963.51,86893.01,3090064.087,2206776.17,883287.917,694645.185,2395418.902,2.433906,2.619003,2.068644,4.883594,2.124823,2429.03832531076,2613.76499454808,2064.50659791023,4873.82644791677,2120.57324819958
18.1,Atividade de impressão,12758,89826,72211,48586,23625,7446,64765,74518.43,50173.92,24344.51,8027.22,66491.21,2390531.311,1721798.73,668732.581,530828.624,1859702.687,2.472617,2.645029,2.117276,5.097008,2.155785,2467.67174138098,2639.73905474888,2113.04182212872,5086.81350167593,2151.47314729502
18.2,Serviços de pré-impressão e acabamentos gráficos,5901,,,,,,,,,,,,,,,,,,,,,,,,,,
18.3,Reprodução de materiais gravados em qualquer suporte,411,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",596,268299,267522,236546,30976,47077,220445,295618.15,261715.69,33902.46,51459.28,244158.87,22899338.841,20002130.805,2897208.036,11199373.377,11699965.464,5.9706,5.890777,6.586801,16.774753,3.693501,5958.65850305147,5878.99581617923,6573.6278905833,16741.2031371063,3686.11364962746
19.1,Coquerias,8,395,383,329,54,60,323,435.76,378.7,57.06,65.36,370.4,28897.782,25321.258,3576.524,9572.922,19324.86,5.11144,5.153664,4.831205,11.289081,4.021346,5101.21697193939,5143.35642176677,4821.54277548599,11266.5026833631,4013.30370493437
19.2,Fabricação de produtos derivados do petróleo,210,54371,54125,44801,9324,29820,24305,59970.21,49689.09,10281.12,33228.34,26741.87,13981370.133,11916135.457,2065234.676,9274382.206,4706987.927,17.969677,18.484193,15.482999,21.513073,13.5668,17933.7376045668,18447.2246198233,15452.0330320193,21470.0468288862,13539.6662381731
